movie,Nosey,Bossy,Easygoing,Rebellious,Humble,Conscientious
ID116vid6,45.47058824,37.23529412,62.17647059,33.35294118,57.83333333,64.93333333
ID116vid6,45.58823529,38.70588235,62.05882353,33.47058824,57.5,64.66666667
ID116vid6,45.64705882,37.58823529,60.76470588,29.17647059,57.27777778,64.66666667
ID116vid6,45.52941176,37.11764706,59.70588235,28.94117647,58.38888889,64.26666667
ID116vid6,45.64705882,36.64705882,58.47058824,29.35294118,57.55555556,63.86666667
ID116vid6,45.88235294,36.41176471,58.35294118,29.58823529,56.27777778,63.86666667
ID116vid6,46,36.58823529,57.64705882,29.70588235,59.55555556,63.2
ID116vid6,46.23529412,35.35294118,57.29411765,29.82352941,56.72222222,63.2
ID116vid6,46.11764706,35.94117647,57.29411765,29.70588235,59.44444444,63.33333333
ID116vid6,46.23529412,34.17647059,57.52941176,29.35294118,59.77777778,63.06666667
ID116vid6,46,35.52941176,57.76470588,28.88235294,59.88888889,63.86666667
ID116vid6,45.52941176,34.17647059,58.11764706,28.88235294,59.77777778,64.26666667
ID116vid6,45.29411765,30.58823529,58.47058824,27.82352941,59.11111111,64.93333333
ID116vid6,45.17647059,36.35294118,59,27.58823529,54.72222222,65.73333333
ID116vid6,44.82352941,35.64705882,59.94117647,27.70588235,58.94444444,66.66666667
ID116vid6,44.47058824,34.94117647,61.58823529,28.05882353,60.16666667,68.46666667
ID116vid6,44.23529412,34.41176471,62.52941176,27.94117647,55.83333333,69.53333333
ID116vid6,44.23529412,35.11764706,62.88235294,27.70588235,58.83333333,69.8
ID116vid6,43.88235294,34.52941176,63.35294118,28.41176471,60.94444444,70.46666667
ID116vid6,44,34.41176471,63.70588235,32.47058824,60.72222222,70.86666667
ID116vid6,44.94117647,35,63.82352941,32.70588235,60.72222222,68.26666667
ID116vid6,44.94117647,34.52941176,64.05882353,32.11764706,60.83333333,68.4
ID116vid6,44.82352941,34.64705882,63.70588235,26.23529412,60.94444444,68.93333333
ID116vid6,45.05882353,35.70588235,64.41176471,26.11764706,61.38888889,69.33333333
ID116vid6,45.17647059,36.82352941,64.41176471,25.88235294,61.16666667,69.6
ID116vid6,45.52941176,35.11764706,64.17647059,26.70588235,61.27777778,70.13333333
ID116vid6,45.41176471,36.11764706,63.82352941,26.70588235,61.55555556,70.66666667
ID116vid6,45.29411765,36.17647059,63.11764706,27.41176471,60.72222222,71.06666667
ID116vid6,45.52941176,35.82352941,63,27.41176471,59.33333333,71.86666667
ID116vid6,45.29411765,35.70588235,63.47058824,28.47058824,59.22222222,72.8
ID116vid6,45.41176471,35.70588235,64.17647059,28.58823529,60.72222222,73.2
ID116vid6,45.29411765,35.41176471,64.52941176,29.05882353,60.16666667,73.6
ID116vid6,45.29411765,35.23529412,64.29411765,28.47058824,60.83333333,73.86666667
ID116vid6,45.29411765,34.88235294,64.64705882,28.58823529,61.94444444,74.53333333
ID116vid6,45.29411765,34.88235294,64.64705882,28.11764706,62.16666667,74.8
